textID,sentiment
1ecb27d443,neutral
8def14ecb6,neutral
d8ab6dfc33,neutral
a40a9840b0,neutral
9fd06d16fa,neutral
a2e05185c6,neutral
4dc7327dd8,neutral
a8c7169a40,neutral
f3ac3b70a5,neutral
7225190154,neutral
90b04358f6,neutral
4eab89615d,neutral
d23b3d8a0f,neutral
5c618e0858,neutral
ebe8f8516d,neutral
a0778509a0,neutral
3796daa7e7,neutral
3c7d3bb4f7,neutral
a540dbe145,neutral
9c825ecb4b,neutral
da416376a5,neutral
1bc5ee4931,neutral
476f9b7220,neutral
f66476d213,neutral
5d76ce377a,neutral
f4b9c3b066,neutral
0fdd17f7d9,neutral
8a60acff0f,neutral
078af0dd16,neutral
0236a31bb0,neutral
4c29c2a392,neutral
39f65ac179,neutral
261e064dd4,neutral
f0484a0f8a,neutral
7096e797f5,neutral
88df00353c,neutral
19be734f43,neutral
56a6f83cff,neutral
d7a6c26e66,neutral
e3f761b95c,neutral
26e4fa628a,neutral
c8c3ef8aaf,neutral
9f99fb6260,neutral
75d3edbeda,neutral
8afddd5ed6,neutral
19c8924b58,neutral
e182fdf4a2,neutral
dfa12a52eb,neutral
dc1a833e52,neutral
e039645e4d,neutral
8b27dab7ed,neutral
b507cce1a4,neutral
23186e73f2,neutral
7b10fe51a5,neutral
24899d5bc7,neutral
84ecc180c2,neutral
2a708c3485,neutral
04b61330dc,neutral
3dab5c659c,neutral
26b7bd0e04,neutral
6bb61f0267,neutral
c774e791ab,neutral
cbf87fcd46,neutral
6712b0174e,neutral
09a7ff07ee,neutral
80f12a2f56,neutral
d2edadaabd,neutral
77c01f0add,neutral
7972133a6e,neutral
3daa9bf925,neutral
3d465939ee,neutral
a1898e44e9,neutral
08975f62a8,neutral
fee2d997a9,neutral
393519d754,neutral
05dd709038,neutral
8b89deb1b6,neutral
c2f663dfcd,neutral
b988be367b,neutral
1613b8b2d7,neutral
05ee6aa24e,neutral
021f8be6b0,neutral
41341f5395,neutral
f6f31ebdcf,neutral
3e3d67efc2,neutral
b68026044b,neutral
44118d01e8,neutral
258ed281c7,neutral
3961e6973d,neutral
2c8ee886ae,neutral
0043706e88,neutral
c6a48bcc9c,neutral
bd36808ea3,neutral
39348df004,neutral
1cbfa82e04,neutral
4b6f08e92c,neutral
876ac096ec,neutral
ef3ebe4b6e,neutral
ff41981fe4,neutral
c0db8835a5,neutral
5b743fcc17,neutral
3f4869a702,neutral
7280188899,neutral
e836da8cd9,neutral
a002383b5b,neutral
b2ac8c9fcc,neutral
b1b8c03333,neutral
5f3bde3bf7,neutral
0274567d50,neutral
6e8a9b822b,neutral
c7d93aef38,neutral
8acbf01666,neutral
0a0e9b1035,neutral
c35f392086,neutral
bc37aeaa2f,neutral
823122597e,neutral
e9e8135cc5,neutral
4e6f5b65ae,neutral
0432e21a96,neutral
bbcd836382,neutral
642b5ea30e,neutral
567eaf266e,neutral
1fdbac152f,neutral
43e6d9aeaa,neutral
c28465b668,neutral
30ea165391,neutral
6e376214e9,neutral
eae55ee415,neutral
5f166baecc,neutral
4e1fc4b289,neutral
354b590f3f,neutral
467593cbb0,neutral
b154e83354,neutral
6176e2488c,neutral
9590e14088,neutral
e9d758a224,neutral
22a3156283,neutral
3d5c1ed21b,neutral
5a64f84f9c,neutral
b154ec432c,neutral
2bdcb46ef4,neutral
d16ffd65a6,neutral
5f44c39180,neutral
39ca6c87a2,neutral
2b8f8b26cf,neutral
cede4f9185,neutral
84477ead41,neutral
b931353754,neutral
374384a4dc,neutral
3338b13120,neutral
de75916180,neutral
72b3655419,neutral
e216faca02,neutral
62f3074724,neutral
16baf95861,neutral
aeb55e479d,neutral
cdcaac066e,neutral
96f3999235,neutral
71e55a0300,neutral
906a96d74e,neutral
1382929e20,neutral
4f45d9a670,neutral
03ff47fda6,neutral
4d45cf5931,neutral
6f7235f0ab,neutral
42fd06c66b,neutral
0de7050311,neutral
65a56799b9,neutral
3a174147aa,neutral
f41ad69adf,neutral
e4fd99e835,neutral
baaf138c58,neutral
01fb6a1ad7,neutral
5733c8453b,neutral
7f8ceb5336,neutral
aa91d27145,neutral
ff1462ff46,neutral
4273b2b1c3,neutral
8fc8d9bd09,neutral
73161cbf0d,neutral
cde664a518,neutral
eb4da39f39,neutral
6bb974430e,neutral
05f8b149b4,neutral
a119b51e33,neutral
bc2f4ee602,neutral
cb9b52e9be,neutral
a231d7864b,neutral
d2eeeccabc,neutral
7f3951027f,neutral
9bc88bd949,neutral
c501e02cab,neutral
18ed98243c,neutral
21f33ed71b,neutral
1d88f35dd5,neutral
319be36319,neutral
1f581d48bc,neutral
62e1a784c5,neutral
6f8bd2c26d,neutral
f7e80a4d74,neutral
723b812315,neutral
f020cc1ecd,neutral
0713530017,neutral
6a5ec7efd8,neutral
42ee0e4339,neutral
6eaf827d88,neutral
cfedf94a53,neutral
5755368f30,neutral
c92c8cfb15,neutral
dcb8c622d6,neutral
de40356564,neutral
35182a84b6,neutral
dfb67f9f58,neutral
3fe390dcc1,neutral
c155efab1b,neutral
870c815228,neutral
aaf0bbf7c8,neutral
d978b7f334,neutral
4efc551b0f,neutral
76cec7d4ba,neutral
ba56c535a2,neutral
e4ccfc501b,neutral
972107b366,neutral
cc4564d473,neutral
e6dd04089e,neutral
f5190367e2,neutral
f9a95043ae,neutral
7e8b34de71,neutral
1e17b77d6e,neutral
08763cf8ee,neutral
acb83ea44e,neutral
ec63552551,neutral
e7b3960fa3,neutral
1ae1b5606d,neutral
fc8efe7e13,neutral
49b741fc13,neutral
22766a7e2b,neutral
29d7104494,neutral
522f3ee2ae,neutral
89e4eed832,neutral
bf73147031,neutral
0f25882584,neutral
d19ddcc745,neutral
f25010df3a,neutral
64810cb721,neutral
ebc1f6727e,neutral
02006e6e62,neutral
db359564ad,neutral
eadfbc1b72,neutral
cb2f97dc53,neutral
7457fa9f77,neutral
09227d0ba4,neutral
0acb5a4bae,neutral
48b41c2f95,neutral
5db94b9b63,neutral
87aa7c3315,neutral
ef389b4d71,neutral
5bfc188fd2,neutral
f490685a78,neutral
4f70a97969,neutral
17e600f3b6,neutral
1e9b8bf9fd,neutral
36bee46d4b,neutral
8169af7ee4,neutral
9499e34212,neutral
571e73326c,neutral
3ba9084efe,neutral
ce73b46b90,neutral
d18637ad68,neutral
e651a2a287,neutral
231f663202,neutral
fd725c1a36,neutral
95a6c29dc3,neutral
48fbbeab77,neutral
86b7715bfb,neutral
82630c2e15,neutral
eaeef48b7c,neutral
6e34e9c28a,neutral
87d43edc49,neutral
08849ca222,neutral
c3eb547008,neutral
2836821bce,neutral
b751f39570,neutral
39b5691a32,neutral
89f565c172,neutral
e0cd486f0f,neutral
2d5d4bf6ed,neutral
be0a927a80,neutral
1a35c1eb9f,neutral
0092c21828,neutral
0aa1791075,neutral
bee59bb7d2,neutral
3a3a1e1f1e,neutral
c3e9745d8d,neutral
37b9a91393,neutral
6b2733b1a6,neutral
f016774208,neutral
09ecc10f84,neutral
4598e31e32,neutral
fac523c9bc,neutral
2fb2fc139e,neutral
1fbde4de35,neutral
e9f642e50a,neutral
d4a80999ef,neutral
1ec241a035,neutral
60da5f7f30,neutral
dc5c8ff513,neutral
6b2dc78496,neutral
9cba8bf464,neutral
47ec7c77de,neutral
a0fc51cb4d,neutral
2e850a4143,neutral
8427060c30,neutral
040d1d9dcb,neutral
132e051fe8,neutral
f94af8cb85,neutral
dbb41be912,neutral
d2ed2233e0,neutral
c5fa126423,neutral
61ee079ba5,neutral
c6e226f30f,neutral
0d5009477c,neutral
b034d03e50,neutral
b91963e312,neutral
2831a7717b,neutral
9413368866,neutral
143e8aebc4,neutral
9bf583dd17,neutral
32b2610c63,neutral
1fc4902f30,neutral
f0c5be2158,neutral
dffeaa7330,neutral
ec9bce02a9,neutral
63fd0bc986,neutral
4d352ca9b1,neutral
f1c97d5bcb,neutral
48d27a58fe,neutral
4a0d92c598,neutral
98949b1fd7,neutral
5d470d3192,neutral
ae4860dc68,neutral
71c9975b09,neutral
de99f08494,neutral
4c1897aa51,neutral
6cb043762e,neutral
d352c8ec75,neutral
6ecab08a38,neutral
d25a8b5b1d,neutral
a6e6bb3154,neutral
25bb13b1ee,neutral
860b2bb70c,neutral
48d1c69d94,neutral
bb42a3cf44,neutral
4eedf0a785,neutral
92d7bd54cf,neutral
2736c303b4,neutral
0a7ecfa4a8,neutral
5c3d9c52f6,neutral
1fd542d088,neutral
10da8bef28,neutral
9266858b0e,neutral
e04e0b8a0e,neutral
db07e1c8f2,neutral
d10dc5c41e,neutral
f4622e59e3,neutral
32bb7b3961,neutral
19cc8138fd,neutral
e42f22608c,neutral
f69a80cc7e,neutral
40a90f23cd,neutral
a4d98fb60a,neutral
855dc31191,neutral
f8ce4ba6de,neutral
0d550ad6fc,neutral
eda9b67235,neutral
654de96a93,neutral
6499546bea,neutral
e3875aa924,neutral
60297b1b97,neutral
2cf37fe920,neutral
501ae0d4e7,neutral
c0aee991a0,neutral
d388f4b3e6,neutral
e7ec3be194,neutral
d218dfd8ef,neutral
c991df8cad,neutral
cfb0ab06b2,neutral
897025f513,neutral
4bce2313f4,neutral
3c664be4e8,neutral
4344cafbdc,neutral
7bb43eca18,neutral
83f805343a,neutral
d965ea7618,neutral
e7bc4034ab,neutral
ceb202ddff,neutral
5715e8a9ae,neutral
21cf770e43,neutral
8ca499152a,neutral
491fcc6675,neutral
7e6d76988f,neutral
a1734e91fd,neutral
1adf377451,neutral
0f53f62956,neutral
41fd07f670,neutral
3e9b8995b8,neutral
cc0bc2a05d,neutral
96dd04d348,neutral
4c8db3926d,neutral
297bc17467,neutral
6ce07361fa,neutral
59e3ebdcb5,neutral
0995e44a56,neutral
dd666c5cbe,neutral
200ffd4c5a,neutral
ffe6fab196,neutral
739f26f87c,neutral
76390ef87f,neutral
1e83aba60f,neutral
168216a4a6,neutral
f4f97d8289,neutral
8f041fea93,neutral
c8113641f4,neutral
754dbc1251,neutral
23bd2618df,neutral
771d1dbc22,neutral
cc5a4ab96a,neutral
d6d78b7097,neutral
ba0fa7443e,neutral
69ee002874,neutral
436b24fc93,neutral
79d78251ef,neutral
2a0af521de,neutral
670bf744cd,neutral
ec4e7f6aba,neutral
562deae4f8,neutral
02b39987e9,neutral
8db855e309,neutral
9f2e24129d,neutral
0ae607ab07,neutral
50f6c44b92,neutral
1159cf1bcf,neutral
f8b32c4484,neutral
97af309513,neutral
cf023b846b,neutral
e99c1276cf,neutral
7d0aa849f1,neutral
d7260aaf20,neutral
63ef622fd7,neutral
a341b1ab46,neutral
4ce121e2ad,neutral
6b3c5d881b,neutral
f305375e9a,neutral
37b3bf9cb2,neutral
4e15d840bf,neutral
216703ba65,neutral
931fdca6ea,neutral
38869d15ef,neutral
5e4320f4a5,neutral
a8b73cf5d5,neutral
bc931b2e59,neutral
0330f844bd,neutral
2f3ff51870,neutral
53a59e7a7f,neutral
52712c7aef,neutral
6001d8d7ec,neutral
4d586d5ca8,neutral
ea086d4cfa,neutral
f8fc5fe63c,neutral
4714a183be,neutral
98ee2a131a,neutral
d31f708485,neutral
05a1304b53,neutral
f69065d1c0,neutral
cf80e6a4e0,neutral
ca5909d8ea,neutral
3139ac78db,neutral
0194327888,neutral
88d10c8ddc,neutral
05f31579f2,neutral
79931bd7a5,neutral
7c843939bb,neutral
1251b166af,neutral
74eb9eb872,neutral
4da3756f54,neutral
634ce8816e,neutral
589bb8f7e3,neutral
3f33b8fd3e,neutral
728d3d59d4,neutral
86d15f120f,neutral
0c7904536d,neutral
da8fa808d3,neutral
6d9316c18f,neutral
3fd1057ee4,neutral
0beb972c15,neutral
49ff747ca1,neutral
e864dc53b4,neutral
c30043dfc4,neutral
b01c96b216,neutral
3892687f15,neutral
d445bf6b98,neutral
8db4d80318,neutral
46de360d09,neutral
d078973de5,neutral
a53bc356c2,neutral
bb5ff3110a,neutral
df5c825929,neutral
cf30a8df0a,neutral
06a80bb433,neutral
b1e9db3db7,neutral
e7659fc837,neutral
023adc9806,neutral
1d568e14ea,neutral
bd19a4260b,neutral
044d652e38,neutral
7a73386700,neutral
b87171a4f1,neutral
33210a71bb,neutral
28e1248932,neutral
5b1be33775,neutral
a34bf825fc,neutral
fd68fb4b55,neutral
e07b4a40d1,neutral
4e85f6e9b0,neutral
cd74b1835d,neutral
23ec28e7d0,neutral
15102b0d69,neutral
ce1e980a78,neutral
bc3595417d,neutral
12456985b1,neutral
c7e58ae69b,neutral
d3031fc98d,neutral
c710c2fc6e,neutral
f7bb505276,neutral
75357bd8dc,neutral
d2da9db0e5,neutral
d2a221697e,neutral
5dbc76b885,neutral
2b8089a5ed,neutral
11784322cf,neutral
d9107173c4,neutral
f759c898a2,neutral
36265d722a,neutral
7406292103,neutral
756a6abdba,neutral
181bc1ee99,neutral
e75cfcc49a,neutral
9669c928b7,neutral
8cbb0f4bc1,neutral
3287f9c15b,neutral
89e3307aa8,neutral
9afda201ce,neutral
ab4a849f72,neutral
241a132a38,neutral
84e69a3f34,neutral
ef8f79cae3,neutral
5048e11fbe,neutral
cab560fece,neutral
a348aea018,neutral
f9c91c5edc,neutral
a25ea87900,neutral
8223259736,neutral
dce3164dda,neutral
5c3831e16a,neutral
5f5ef8ac14,neutral
95809b0b7b,neutral
bd856e42b1,neutral
23e1f7dca4,neutral
5db4f576b6,neutral
c29e6cf197,neutral
9e047ed52a,neutral
6ad26f4e0d,neutral
fdf1b79e65,neutral
1a1bbddc5d,neutral
842953e8a8,neutral
52460306f4,neutral
1317531567,neutral
533b05f261,neutral
99d787d063,neutral
885441d874,neutral
a7fc7285a0,neutral
4d576567c0,neutral
f54e05ae8a,neutral
d87e30dadb,neutral
faac0eff26,neutral
6206b9e0ed,neutral
0f03d180b7,neutral
515e62397d,neutral
5b88ed7d49,neutral
6cd11d3484,neutral
88bbaf18a1,neutral
6ce851a2c0,neutral
4c7465d015,neutral
6fe5e54415,neutral
78a714e8bb,neutral
be3e08e2da,neutral
8adbbd33e9,neutral
2c3ef296fd,neutral
2602539701,neutral
f2c63f0036,neutral
3766439f81,neutral
c0716fb4a6,neutral
bfd9acc676,neutral
f433a31196,neutral
4b38f22fb7,neutral
b56c2694a7,neutral
56d87a6494,neutral
7a20787e73,neutral
7a02ca882d,neutral
f7c173a4f3,neutral
58b8194458,neutral
cb1b8ec90f,neutral
7f91178253,neutral
709df6a4e7,neutral
013043510c,neutral
91638a406f,neutral
edec74f889,neutral
c975b2b6d1,neutral
54db2ebee1,neutral
67cc48a34f,neutral
887cb446b4,neutral
55f3aa08a3,neutral
4be4e6de30,neutral
5751380d23,neutral
3e6b71fda4,neutral
fd37d39203,neutral
21ceb02403,neutral
2a8c3e6b51,neutral
bf9d84d678,neutral
fe8205bc15,neutral
c345916798,neutral
7b9faf935b,neutral
e738f6af0b,neutral
748b7f7654,neutral
add398ab57,neutral
fa78beca22,neutral
29482e6966,neutral
28e4ce73b7,neutral
743b62f788,neutral
13f56e9956,neutral
a881027b76,neutral
bbd9c7c9c5,neutral
9ba59ca56d,neutral
26cce7097f,neutral
89fc963188,neutral
7ba2bb1561,neutral
59de82ec28,neutral
dfcdcead66,neutral
066a730dbc,neutral
6ba0ee49b6,neutral
c9d53a9127,neutral
b475878ee8,neutral
fda8c135e5,neutral
cb4ca6a513,neutral
18f560f57b,neutral
0ebbfb4261,neutral
01c6e1adf4,neutral
95c725edb6,neutral
4003ac8a4f,neutral
1d4e4eaeae,neutral
17b920af1c,neutral
02410922ff,neutral
9c115b6fac,neutral
05d9f83c67,neutral
41780fcc9c,neutral
4012a68842,neutral
a4ca62632d,neutral
8ebf97bf78,neutral
babb367967,neutral
b5003ad333,neutral
c1885fae62,neutral
900c3636cb,neutral
8e0a0ffbe1,neutral
25aa6711e2,neutral
be792705ff,neutral
6e2501758d,neutral
e0b23e49c6,neutral
a13175162b,neutral
7c2f873a41,neutral
bf123fdd66,neutral
aca65143ab,neutral
9986499587,neutral
c7a8ba6ed4,neutral
7b433441fc,neutral
d11c476468,neutral
b3c94a2af3,neutral
0da090c332,neutral
0c55426e67,neutral
185a9be434,neutral
59ec2945d5,neutral
a53c829bee,neutral
07c6f766e3,neutral
863edfea8b,neutral
6babb54cc5,neutral
ec895c12a3,neutral
d2bfcc0f02,neutral
ef8f97debb,neutral
e6620d2d33,neutral
24d4fa8e2b,neutral
5ddd874f83,neutral
3e288df43d,neutral
8b3f4dcfa7,neutral
667408fa8b,neutral
d91a78658e,neutral
8d6fb4185c,neutral
b3d6d863f5,neutral
fdfe12a800,neutral
